STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT,THSMON_SELNG_CO,MDWK_SELNG_AMT,WKEND_SELNG_AMT,MON_SELNG_AMT,TUES_SELNG_AMT,WED_SELNG_AMT,THUR_SELNG_AMT,FRI_SELNG_AMT,SAT_SELNG_AMT,SUN_SELNG_AMT,TMZON_00_06_SELNG_AMT,TMZON_06_11_SELNG_AMT,TMZON_11_14_SELNG_AMT,TMZON_14_17_SELNG_AMT,TMZON_17_21_SELNG_AMT,TMZON_21_24_SELNG_AMT,ML_SELNG_AMT,FML_SELNG_AMT,AGRDE_10_SELNG_AMT,AGRDE_20_SELNG_AMT,AGRDE_30_SELNG_AMT,AGRDE_40_SELNG_AMT,AGRDE_50_SELNG_AMT,AGRDE_60_ABOVE_SELNG_AMT,MDWK_SELNG_CO,WKEND_SELNG_CO,MON_SELNG_CO,TUES_SELNG_CO,WED_SELNG_CO,THUR_SELNG_CO,FRI_SELNG_CO,SAT_SELNG_CO,SUN_SELNG_CO,TMZON_00_06_SELNG_CO,TMZON_06_11_SELNG_CO,TMZON_11_14_SELNG_CO,TMZON_14_17_SELNG_CO,TMZON_17_21_SELNG_CO,TMZON_21_24_SELNG_CO,ML_SELNG_CO,FML_SELNG_CO,AGRDE_10_SELNG_CO,AGRDE_20_SELNG_CO,AGRDE_30_SELNG_CO,AGRDE_40_SELNG_CO,AGRDE_50_SELNG_CO,AGRDE_60_ABOVE_SELNG_CO
20251,R,전통시장,3130067,왕십리도선동상점가,CS300006,미곡판매,1139610559.0,23825.0,984741862.0,154868697.0,339035023.0,90322503.0,117399564.0,356558878.0,81425894.0,79955982.0,74912715.0,0.0,55242417.0,742553304.0,187448875.0,146068669.0,8297294.0,439926849.0,699683710.0,0.0,0.0,283477093.0,15487760.0,181922743.0,658722963.0,18912.0,4913.0,3683.0,3876.0,3749.0,3900.0,3704.0,3965.0,948.0,0.0,1764.0,7433.0,6980.0,7174.0,474.0,6836.0,16989.0,0.0,0.0,1370.0,962.0,7059.0,14434.0
20251,A,골목상권,3110102,옥수역 6번,CS200028,미용실,413725846.0,5232.0,278951037.0,134774809.0,41604582.0,39177482.0,57413304.0,62634063.0,78121606.0,87536513.0,47238296.0,0.0,10245174.0,140695046.0,127956426.0,134416153.0,413047.0,162119131.0,233485508.0,1326106.0,16949113.0,47793818.0,129411499.0,138937918.0,61186187.0,3657.0,1575.0,659.0,663.0,688.0,696.0,951.0,946.0,629.0,0.0,313.0,1535.0,1614.0,1757.0,13.0,2622.0,2491.0,20.0,310.0,892.0,1664.0,1417.0,810.0
20251,A,골목상권,3110102,옥수역 6번,CS300010,반찬가게,16397258.0,3291.0,5593712.0,10803546.0,0.0,0.0,2179903.0,466142.0,2947667.0,2179904.0,8623642.0,0.0,164521.0,8047818.0,1233908.0,6951011.0,0.0,3921084.0,12476174.0,0.0,0.0,6032436.0,10104331.0,54840.0,205651.0,1645.0,1646.0,0.0,0.0,1097.0,274.0,274.0,824.0,822.0,0.0,137.0,411.0,685.0,2058.0,0.0,2469.0,822.0,0.0,0.0,959.0,2058.0,137.0,137.0
20251,A,골목상권,3110102,옥수역 6번,CS100008,분식전문점,203154130.0,16321.0,145201594.0,57952536.0,42191584.0,22222473.0,25576804.0,25062242.0,30148491.0,33666463.0,24286073.0,0.0,10532488.0,80846581.0,37754908.0,65748803.0,8271350.0,89415360.0,83532061.0,1535356.0,12577990.0,34848697.0,52657279.0,39240626.0,32087478.0,11363.0,4958.0,2471.0,2017.0,2132.0,2126.0,2617.0,2889.0,2069.0,0.0,666.0,5253.0,3568.0,5934.0,900.0,7404.0,7853.0,166.0,1191.0,3413.0,4685.0,3461.0,2342.0
20251,D,발달상권,3120052,성수역,CS300020,서적,167948663.0,279.0,97454747.0,70493916.0,16077560.0,0.0,0.0,36360019.0,45017168.0,45450025.0,25043891.0,0.0,18180010.0,52437579.0,97331074.0,0.0,0.0,61094727.0,106853936.0,0.0,0.0,79583920.0,72287183.0,16077560.0,0.0,186.0,93.0,31.0,0.0,0.0,31.0,124.0,62.0,31.0,0.0,31.0,124.0,124.0,0.0,0.0,93.0,186.0,0.0,0.0,93.0,155.0,31.0,0.0
20251,R,전통시장,3130064,금남시장,CS300027,섬유제품,8333645.0,146.0,5678678.0,2654967.0,442494.0,4646192.0,383495.0,0.0,206497.0,2477969.0,176998.0,0.0,0.0,5516430.0,2433720.0,383495.0,0.0,501494.0,7832151.0,0.0,0.0,294996.0,176998.0,530993.0,7330658.0,87.0,59.0,14.0,29.0,29.0,0.0,15.0,44.0,15.0,0.0,0.0,57.0,59.0,30.0,0.0,29.0,117.0,0.0,0.0,14.0,14.0,29.0,89.0
20251,A,골목상권,3110113,응봉산,CS200031,세탁소,32090137.0,1709.0,25070161.0,7019976.0,5145107.0,4843136.0,7806427.0,3688351.0,3587140.0,7019976.0,0.0,0.0,7031591.0,7413202.0,8048666.0,9596678.0,0.0,10356581.0,21733556.0,0.0,1239405.0,633806.0,2830555.0,17059656.0,10326715.0,1394.0,315.0,315.0,266.0,332.0,216.0,265.0,315.0,0.0,0.0,348.0,515.0,415.0,431.0,0.0,597.0,1112.0,0.0,99.0,50.0,183.0,697.0,680.0
20251,R,전통시장,3130066,행당시장상점가,CS300008,수산물판매,12218670.0,489.0,10109626.0,2109044.0,2014000.0,1937987.0,1494314.0,3703442.0,959883.0,2109044.0,0.0,0.0,155490.0,3342589.0,6016242.0,2704349.0,0.0,3576225.0,6352788.0,0.0,548143.0,153453.0,1254858.0,1933756.0,6038803.0,397.0,92.0,105.0,95.0,56.0,78.0,63.0,92.0,0.0,0.0,15.0,158.0,241.0,75.0,0.0,154.0,329.0,0.0,16.0,13.0,50.0,117.0,287.0
20251,A,골목상권,3110104,신금호역 4번,CS300001,슈퍼마켓,11797150.0,4534.0,11797150.0,0.0,2956505.0,3049904.0,1599671.0,2477622.0,1713448.0,0.0,0.0,0.0,3010846.0,7210407.0,1575897.0,0.0,0.0,6655108.0,5142042.0,5705833.0,0.0,305670.0,3639167.0,2146480.0,0.0,4534.0,0.0,1036.0,1223.0,713.0,849.0,713.0,0.0,0.0,0.0,1206.0,2751.0,577.0,0.0,0.0,2853.0,1681.0,2615.0,0.0,17.0,1189.0,713.0,0.0
20251,A,골목상권,3110102,옥수역 6번,CS200005,스포츠 강습,263730180.0,562.0,210810282.0,52919898.0,49020831.0,23428828.0,44455093.0,62831502.0,31074028.0,52919898.0,0.0,0.0,14193322.0,65968823.0,42754992.0,129926079.0,10886964.0,55163643.0,202651756.0,0.0,3344923.0,99963397.0,109751683.0,16412209.0,28343187.0,422.0,140.0,85.0,78.0,96.0,94.0,69.0,140.0,0.0,0.0,18.0,87.0,124.0,309.0,24.0,203.0,344.0,0.0,9.0,153.0,319.0,33.0,33.0
